"recipe_id","recipe_name","unit_g","calories_kcal","protein_g","fat_g","saturated_fat_g","carbohydrate_g","dietary_fiber_g","sugar_g","vitamin_c_mg","vitamin_a_ug","vitamin_e_mg","vitamin_b1_mg","vitamin_b2_mg","vitamin_b6_mg","vitamin_b12_ug","sodium_mg","potassium_mg","calcium_mg","magnesium_mg","iron_mg","zinc_mg","phosphorus_mg","nicotinin_mg","folate_ug","alpha_carotene_ug","beta_carotene_ug","water_g","ash_g"
29138,聖代百香果檸檬塔,505,1177.13,14.42,75.73,39.35,121.37,9.1,83.12,64.48,1946.24,16.2,0.12,0.53,0.16,0.92,499.2,538.19,96.2,53.97,2.84,2.05,339.5,1.4,89.58,36.0,2590.65,290.81,3.05
29139,烏龍茶水羊羹,178,535.55,34.68,2.68,0.75,112.33,29.34,11.7,1.63,0.3,18.38,0.0,0.0,0.0,0.0,37.91,2059.14,146.01,266.31,11.56,4.89,741.76,3.26,183.03,0.0,0.6,23.12,5.19
29140,抹茶提拉米蘇,129,436.55,6.46,21.86,4.5,56.14,4.6,30.0,0.0,108.38,11.72,0.08,0.38,0.08,0.52,254.15,162.38,93.34,31.22,3.54,1.0,190.02,0.28,28.54,0.0,7.2,43.2,1.32
29141,番茄湯麵,812,325.2,25.81,5.92,1.7,62.32,25.98,21.97,402.85,1384.22,5.22,0.7,0.85,1.13,0.0,542.38,3117.1,248.56,190.29,5.58,4.04,552.48,6.11,336.24,6.0,2765.4,709.55,8.79
29142,地瓜優格,6,2.16,0.06,0.02,0.0,0.56,0.1,0.36,4.16,0.46,0.02,0.0,0.0,0.0,0.0,0.4,11.92,0.96,0.82,0.02,0.0,1.38,0.04,4.96,0.0,0.9,5.34,0.04
29143,絲瓜細麵,308,69.65,3.97,0.25,0.12,15.77,3.56,7.0,18.68,1869.52,0.1,0.05,0.06,0.29,0.0,1553.02,1723.18,47.88,38.14,1.07,0.31,85.03,0.69,106.92,694.5,3392.27,280.38,7.63
29144,鮮蔬綜合麵線,116,76.06,5.1,0.13,0.01,19.87,9.96,2.1,13.43,638.97,0.21,0.0,0.12,0.15,0.0,327.55,680.32,50.37,46.87,2.43,1.13,125.29,2.17,32.56,250.5,1152.64,88.56,2.77
29145,柚子軟糖,270,1043.8,3.6,8.4,6.0,243.2,0.0,224.1,1.5,2.4,3.6,0.0,0.0,0.0,0.0,278.2,786.0,35.6,18.0,1.2,0.0,170.4,0.0,17.8,0.0,4.8,12.4,2.4
29146,素味紅麴養生炒飯,178,264.79,6.62,0.6,0.0,58.52,2.0,11.4,1.8,1243.0,0.0,0.0,0.01,0.09,0.0,2697.63,793.07,17.24,25.7,1.08,1.48,92.91,1.46,64.04,463.0,2254.8,103.32,8.42
29147,奇異果薄荷冰砂,110,53.11,1.25,0.32,0.04,14.27,3.27,8.97,69.27,956.16,1.48,0.01,0.02,0.11,0.0,4.27,307.62,44.96,19.29,1.52,0.15,31.24,0.28,30.75,0.0,1912.31,93.19,0.77
29148,小藍莓奶酪雪霜,144,129.12,2.05,4.73,4.03,21.38,1.84,14.86,56.66,261.76,0.85,0.03,0.16,0.07,0.16,55.58,309.54,51.84,19.28,0.49,0.28,62.28,1.06,55.04,0.0,523.42,114.82,0.86
29149,盆栽水果豆花,34,13.34,0.18,0.06,0.0,3.54,0.56,2.52,14.4,252.12,0.24,0.0,0.0,0.0,0.0,1.28,55.44,6.88,4.4,0.26,0.0,6.08,0.1,15.32,0.0,504.2,29.94,0.12
29150,荔枝氣泡蘇打凍飲,83,46.45,0.86,0.2,0.08,12.07,0.92,9.86,47.33,1.81,0.2,0.03,0.03,0.08,0.0,2.31,156.47,6.1,11.54,0.16,0.23,20.15,0.42,27.98,0.0,3.62,69.55,0.36
29151,馬鈴薯沙拉,709,425.64,21.51,8.15,3.38,77.28,15.44,18.55,111.77,2242.57,5.58,0.58,0.81,1.04,0.47,1953.14,4868.22,291.47,190.38,14.18,5.35,429.91,8.21,180.26,0.0,4304.4,585.92,16.16
29152,馬鈴薯濃湯,425,474.61,15.81,21.86,8.01,57.01,7.13,12.0,88.91,13.51,0.37,0.47,0.18,0.7,0.44,394.76,1446.29,68.38,117.86,6.69,3.17,293.79,7.85,63.67,0.0,4.54,325.76,4.9
29153,法式馬鈴薯泥,500,439.94,10.26,9.81,3.77,82.74,11.02,22.99,88.38,76.03,2.04,0.27,0.15,0.67,0.0,1882.47,4500.21,152.76,107.64,3.84,3.22,219.05,7.07,75.76,0.04,73.45,383.08,14.14
29154,蔓越莓氣泡飲,12,3.76,0.08,0.06,0.02,0.88,0.14,0.12,4.08,0.0,0.06,0.0,0.0,0.0,0.0,0.46,18.0,3.1,1.22,0.02,0.02,2.66,0.02,0.0,0.0,0.0,10.92,0.04
29155,香煎蘆筍佐法式白酒醬,1745,551.78,42.65,7.82,5.05,109.64,29.08,29.6,183.99,2821.8,11.69,1.64,1.91,2.17,0.0,1044.38,5955.09,339.47,307.09,22.17,12.63,988.39,16.07,373.0,3.15,5563.6,1567.42,17.41
29156,暹羅陽光,139,263.25,0.4,0.37,0.09,67.43,0.3,62.85,30.4,0.0,0.29,0.02,0.04,0.04,0.0,1.63,98.72,11.97,7.07,0.05,0.21,11.21,0.29,0.0,0.0,0.0,70.59,0.26
29157,南洋鳳芒沙瓦,228,91.5,0.83,0.46,0.14,24.43,1.92,18.73,56.19,1221.38,2.71,0.07,0.09,0.17,0.0,3.3,244.06,15.46,15.82,0.12,0.17,26.83,0.62,57.5,0.0,2442.87,201.25,0.53
29158,紫薰衣調飲,31,119.86,0.0,0.0,0.0,30.97,0.0,30.97,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.19,0.0,0.49,0.0,0.0,0.04,0.16,0.0,0.0,0.0,0.0,0.03,0.0
29159,法式燉菜,1120,276.34,13.63,1.93,0.44,66.19,17.87,19.77,466.1,2202.67,7.8,0.5,0.45,1.64,0.0,941.74,3994.27,201.36,167.17,8.14,4.83,376.75,5.52,53.56,15.0,4397.99,1026.96,11.33
29160,百香果冰淇淋,825,1915.85,17.6,149.0,99.6,143.85,2.5,130.0,16.0,1715.1,4.8,0.0,0.0,0.0,5.0,1613.15,2164.1,551.15,68.9,0.7,0.5,484.15,0.5,5.0,20.0,500.0,507.65,11.9
29161,香煎洋蔥鱈魚,965,831.63,137.39,26.93,7.72,36.56,0.0,0.34,3.76,1431.65,3.88,0.23,0.45,0.52,0.47,3934.57,3669.81,111.88,140.91,2.5,5.51,1342.59,8.81,117.4,0.0,0.0,745.18,18.87
29162,酥炸馬芝拉條,985,571.11,37.61,13.93,6.78,88.54,14.04,19.28,100.12,1767.47,6.76,1.01,1.41,1.02,0.83,643.29,2390.29,162.64,165.97,11.98,8.17,681.93,10.15,362.28,3.24,3340.92,837.06,7.87
29163,金沙杏鮑菇,262,183.54,11.89,5.58,1.95,27.19,7.73,11.25,5.41,154.73,2.75,0.08,0.2,0.13,0.97,1947.16,2005.93,63.46,42.11,1.79,2.74,278.78,12.25,103.01,1.5,185.29,207.01,9.88
29164,紅茶三鮮菇,325,163.5,10.9,2.75,0.4,33.25,10.55,14.05,0.05,0.0,1.15,0.05,0.0,0.15,0.0,505.75,955.05,11.7,66.4,3.55,3.2,301.45,11.35,130.15,0.0,0.0,275.95,4.15
29165,野菇燴絲瓜,325,109.39,4.46,0.15,0.05,25.83,4.44,8.6,17.51,5.31,0.01,0.01,0.0,0.0,0.0,448.04,741.77,33.62,34.53,0.57,0.62,111.81,2.61,122.42,0.0,7.7,292.63,2.23
29166,鮮蝦絲瓜餃,538,103.96,5.5,0.65,0.25,24.79,6.87,10.4,35.95,12.6,0.25,0.1,0.1,0.45,0.0,469.73,1322.46,80.41,74.2,3.84,0.57,120.58,1.5,198.75,0.0,25.2,502.11,4.54
29167,聖誕薑餅屋,2625,10586.11,157.04,383.12,255.76,1662.37,41.17,605.0,77.65,3805.76,30.56,0.1,0.56,0.2,0.94,1590.92,1948.64,588.64,422.97,21.04,14.3,1315.02,12.83,649.82,0.0,175.66,403.26,14.21
29168,薏仁蓮子鳳爪湯,240,747.6,36.9,7.0,1.0,145.3,17.4,2.0,1.3,0.0,5.0,0.0,0.0,0.0,0.0,2144.1,3744.7,191.9,376.9,6.0,5.0,996.3,3.6,164.0,0.0,0.0,34.9,15.9
29169,泡菜牛肉炒飯,410,670.79,25.47,15.03,6.3,107.41,4.23,0.72,5.89,254.84,2.21,0.1,0.3,0.31,1.97,605.47,487.07,88.06,65.55,5.79,4.54,306.82,3.51,79.89,0.0,313.68,259.1,3.06
29170,紅酒特調 | 洛神花蔓越莓調酒,100,51.89,0.53,0.17,0.04,10.54,0.93,3.24,42.45,3.78,0.29,0.0,0.02,0.02,0.0,4.63,161.85,12.81,10.11,0.48,0.04,17.34,0.38,41.4,0.0,7.56,88.33,0.28
29171,【鬆餅機食譜】酒漬水果蛋糕,137,647.9,6.86,36.45,25.2,75.13,1.11,40.0,2.25,353.74,1.8,0.0,0.27,0.0,0.0,327.56,335.81,18.88,18.22,0.57,0.51,64.85,0.6,22.1,0.0,0.07,16.62,1.93
29172,沙茶羊肉,78,325.34,5.89,28.91,5.26,12.36,3.32,0.44,11.29,177.94,16.9,0.05,0.02,0.31,0.0,628.52,934.79,92.37,31.02,2.12,1.04,153.81,1.15,19.97,6.2,353.19,27.33,3.55
29173,黑芝麻糊,50,154.0,0.0,0.0,0.0,40.0,0.0,30.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0
29174,豆芽腐皮捲,170,46.3,5.6,1.0,0.0,7.2,4.5,0.6,80.8,479.9,2.9,0.0,0.0,0.0,0.0,1842.0,3012.1,86.3,38.9,1.4,1.0,83.4,0.6,119.4,3.0,959.3,145.0,10.6
29175,海苔蒸肉餅,255,497.95,44.89,34.87,11.68,1.0,0.0,0.08,2.34,132.47,1.0,2.05,0.27,0.06,2.47,193.07,706.77,41.8,48.25,3.06,6.73,516.33,10.07,42.66,0.0,0.0,175.76,2.49
29176,海苔香菇珍珠丸子,300,781.0,46.0,31.0,10.0,77.0,1.0,0.0,4.0,42.0,0.0,2.0,0.0,0.0,2.0,119.0,738.0,25.0,67.0,2.0,7.0,496.0,11.0,24.0,0.0,0.0,147.0,2.0
29177,蔓越莓優酪乳,135,139.6,2.4,1.2,0.0,30.59,1.2,23.39,0.0,0.0,1.2,0.0,0.0,0.0,0.0,9.69,93.6,15.84,16.8,0.0,0.02,30.08,0.0,33.6,0.0,0.0,100.81,0.0
29178,海鮮炒烏龍麵,570,644.95,34.3,20.1,3.45,86.25,2.6,3.5,29.2,62.1,3.8,0.0,1.05,0.0,53.35,1198.75,760.3,171.2,106.85,10.85,3.65,437.3,8.05,76.2,0.45,66.55,424.25,5.3
29179,豆渣蔬菜煎餅,15,3.75,0.1,0.0,0.0,0.95,0.15,0.4,1.1,6.2,0.05,0.0,0.0,0.0,0.0,917.35,1340.05,21.4,4.35,0.3,0.1,9.8,0.0,2.5,0.0,12.45,9.1,4.85
29180,牛肝菌菇燉飯,10,44.75,0.0,5.0,0.8,0.15,0.0,0.0,0.0,3.75,0.9,0.0,0.0,0.0,0.0,917.05,1300.3,14.45,2.2,0.2,0.0,4.15,0.0,0.0,0.05,7.45,0.05,4.8
29181,雞塊鮮蔬炸,1676,2014.13,269.52,27.44,9.68,169.67,18.03,11.59,60.26,448.39,11.9,1.48,1.68,5.93,5.71,2645.17,7132.85,372.9,457.1,19.64,9.33,2923.86,85.36,260.04,26.0,160.95,1197.1,25.24
29182,堅果核桃貝果,290,1053.03,35.04,5.12,0.4,215.53,6.07,30.54,13.5,2.54,8.3,0.02,0.83,0.02,0.0,195.01,625.1,44.62,105.09,3.14,2.96,290.96,3.13,130.38,0.0,4.99,30.39,3.85
29183,抹茶紅豆貝果,304,1077.08,37.48,2.85,0.05,226.53,10.33,30.0,12.65,0.12,4.15,0.0,0.81,0.05,0.0,196.16,799.36,99.26,132.63,6.58,3.23,317.14,3.35,147.2,0.0,0.21,32.69,4.42
29184,火腿起司貝果,344,1108.53,44.08,5.5,1.2,219.13,5.63,31.2,55.1,159.72,3.1,1.8,0.81,0.6,0.6,794.01,751.76,56.16,98.03,3.38,3.88,454.04,6.55,140.5,0.0,0.21,69.79,6.07
29185,冬至食補 ▪ 山藥雞肉枸杞粥,550,765.7,77.4,4.0,0.0,98.9,3.2,2.4,14.0,2513.0,0.0,0.0,0.0,0.0,0.0,2022.7,4261.8,53.7,136.8,1.4,2.0,813.9,26.0,30.4,926.0,4509.6,357.7,14.0
29186,冬至食補 ▪ 十全排骨大補湯,646,1239.65,97.41,76.23,30.14,37.71,5.03,14.77,30.29,290.6,0.75,5.06,0.05,0.01,5.0,2127.4,4474.12,235.85,141.88,7.55,10.56,1088.34,20.66,21.99,30.0,476.23,423.5,15.83
29187,冬至食補 ▪ 牡蠣紫菜煎蛋,370,341.4,29.1,9.98,3.51,40.28,3.79,1.97,15.81,243.67,2.7,0.24,1.61,1.12,51.94,3654.28,3513.4,240.26,107.33,13.04,3.66,477.21,1.69,145.95,0.0,99.46,273.81,16.83
29188,紅燒滷味,710,1346.41,97.98,93.34,31.9,32.53,4.66,5.84,21.96,897.9,20.34,1.94,1.82,1.3,4.32,4654.16,2164.46,571.43,198.2,17.65,10.7,1333.66,7.98,283.62,6.0,635.18,468.67,17.01
29189,西瓜莎莎醬佐脆餅,25,9.05,0.35,0.0,0.0,2.2,0.35,1.0,1.9,240.75,0.0,0.0,0.0,0.0,0.0,0.7,46.35,14.55,4.1,0.25,0.05,8.65,0.05,0.8,0.75,481.15,22.35,0.05
29190,西瓜起司球,710,226.45,5.76,0.84,0.28,56.68,2.68,52.29,49.07,1923.57,0.35,0.28,0.35,0.98,0.0,10.28,883.66,69.36,83.37,2.04,1.5,87.06,1.78,35.42,1.5,3846.51,644.7,1.85
29191,焗烤地瓜蘑菇千層,1805,1742.02,44.61,20.95,12.78,367.13,47.93,58.86,228.74,4088.89,9.75,0.61,0.91,1.9,0.47,1593.92,7297.8,635.17,478.85,20.05,10.25,1180.57,21.14,525.51,2.5,7759.75,1351.2,23.78
29192,芋香八寶飯,1085,1113.83,25.84,6.77,1.15,238.43,16.11,6.84,155.8,2000.01,4.67,0.2,0.36,0.74,0.0,503.9,1687.76,563.07,194.41,8.95,8.09,432.96,8.84,417.38,2.4,3998.89,807.6,6.21
29193,【抹醬】自製大蒜奶油,960,2307.23,53.17,162.98,114.23,202.73,31.35,7.89,62.41,1588.06,8.44,1.36,0.47,7.05,0.02,1658.57,4513.69,168.27,159.27,8.18,6.3,1090.5,4.35,336.15,0.0,8.85,526.24,15.02
29194,紅魽佐紫蘇柚子花椰菜,47,26.54,1.48,0.17,0.08,6.59,2.94,0.94,23.57,199.93,0.41,0.0,0.04,0.09,0.0,10.28,145.84,75.46,35.07,3.83,0.21,24.67,0.38,20.8,0.0,399.55,37.97,0.84
29195,香菇花生鳳爪湯,190,539.6,24.9,38.0,8.0,35.5,9.2,4.3,1.0,0.0,15.0,1.0,0.0,0.0,0.0,5516.5,8590.7,180.4,236.8,4.8,5.3,490.4,14.9,240.8,0.0,0.0,60.5,31.1
29196,參鬚紅棗糯米飯,160,442.5,9.1,1.2,0.0,98.0,3.5,0.0,3.2,173.2,0.0,0.0,0.0,0.0,0.0,8.3,341.3,29.4,45.1,1.2,1.0,108.0,1.6,18.0,25.0,334.0,50.1,0.4
29197,日式鮮魷醬烤,2042,8340.04,278.82,751.86,174.37,95.66,2.81,0.04,0.23,4022.71,20.44,0.65,9.23,6.2,77.11,1160.34,6029.37,183.78,493.57,29.79,19.74,3168.82,115.58,218.53,1.5,996.07,900.12,16.05
29198,起司蕈菇玉子燒漢堡,163,253.48,9.38,19.54,4.76,11.32,1.0,2.07,4.3,207.75,7.5,0.08,0.28,0.09,0.48,1270.37,1529.78,72.29,20.43,1.71,1.19,155.55,0.25,52.02,0.0,200.41,116.9,5.87
29199,日式櫻花蝦佃煮,120,179.3,21.12,3.41,0.38,15.17,0.79,10.04,0.03,0.0,3.03,0.05,0.01,0.04,3.0,505.61,232.95,682.21,100.06,2.12,1.21,355.23,2.28,41.57,0.0,0.0,76.98,4.33
29200,牛蒡金比羅,153,194.89,5.3,8.63,1.37,30.36,9.34,8.18,9.14,1974.31,7.64,0.07,0.06,0.18,0.0,44.0,554.22,140.57,81.14,2.78,1.34,147.82,0.83,16.12,696.0,3602.08,106.8,1.91
29201,日式醋醃鯖花揚,2042,8340.04,278.82,751.86,174.37,95.66,2.81,0.04,0.23,4022.71,20.44,0.65,9.23,6.2,77.11,1160.34,6029.37,183.78,493.57,29.79,19.74,3168.82,115.58,218.53,1.5,996.07,900.12,16.05
29202,貓王漢堡,255,606.92,19.34,31.38,11.23,68.74,8.54,28.75,37.89,27.84,4.58,0.46,0.18,0.72,0.59,652.24,690.8,73.4,89.75,3.03,2.73,288.22,5.77,80.38,0.0,33.19,132.15,3.7
29203,蔬果小漢堡,246,91.62,1.95,0.29,0.11,24.34,2.94,19.4,34.97,155.64,0.58,0.1,0.04,0.23,0.0,5.89,426.3,31.48,25.98,0.63,0.71,40.14,0.37,31.56,0.0,311.28,218.69,0.73
29204,BLT漢堡,165,395.19,10.1,35.33,10.52,10.49,1.05,3.0,31.34,118.89,6.67,0.29,0.09,0.13,0.45,594.3,285.54,19.01,20.41,0.7,1.25,166.05,3.14,20.75,0.0,195.1,107.55,1.85
29205,櫻桃白巧克力蛋糕,2778,7329.94,145.07,385.01,230.55,879.22,36.3,624.0,109.3,3667.68,41.39,0.5,3.7,0.9,13.32,3814.8,5957.68,1310.0,782.55,38.8,21.2,3242.08,4.7,649.72,4.5,126.22,1342.7,28.52
29206,蒜苗回鍋肉炒飯,380,610.32,19.58,5.68,1.92,122.76,5.54,0.81,8.42,91.62,1.37,0.22,0.34,0.96,0.47,1257.84,1792.57,70.62,62.77,5.12,3.03,306.01,1.9,93.91,0.0,2.25,224.96,7.07
